Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
2013-11-13,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-14,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3813,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-15,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.3944,3.4,7.5,1,NaN,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.5,4.5,0.125,0.25,5
2013-11-16,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.5,NaN,0.125,0.25,5
2013-11-17,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.5,NaN,0.125,0.25,NaN
2013-11-18,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-19,9.5,2.5,9.5,1,0.125,4.75,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-20,9.5,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-21,9.5,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-22,9.5,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.5,4.5,0.125,0.25,5
2013-11-23,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.5,NaN,0.125,0.25,5
2013-11-24,NaN,,9.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.5,NaN,0.125,0.25,NaN
2013-11-25,NaN,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-26,9.5,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.4,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.5,4.5,0.125,0.25,5
2013-11-27,9.5,2.5,9.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-11-28,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-11-29,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.25,4.5,0.125,0.25,5
2013-11-30,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,,1,7.75,,,,3.25,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.25,NaN,0.125,0.25,5
2013-12-01,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2013-12-02,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-03,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-04,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-05,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.1,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-06,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.25,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.25,4.5,0.125,0.25,5
2013-12-07,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.25,NaN,0.125,0.25,5
2013-12-08,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2013-12-09,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.24,3.2,7.5,1,7.75,5.375,,2.5,NaN,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-10,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.6,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-11,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.2692,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-12,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,NaN,0.2708,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-13,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.2,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,,1,2.25,4.5,0.125,0.25,5
2013-12-14,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,,NaN,2.25,NaN,0.125,0.25,5
2013-12-15,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,10,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2013-12-16,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.352,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,10,5.5,2,1,2.25,4.5,0.125,0.25,NaN
2013-12-17,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3048,3.2,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,2,1,2.25,4.5,0.125,0.25,5
2013-12-18,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3085,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2013-12-19,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.28,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2013-12-20,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.28,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,,0.75,2.25,4.5,0.125,0.25,5
2013-12-21,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2013-12-22,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2013-12-23,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.27,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2013-12-24,NaN,2.5,10,1,0.125,4.5,6,3.25,NaN,NaN,0.5,0.5,0.31,NaN,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,NaN,2.5,4,NaN,2.5,4,9.5,5.5,2,NaN,2.25,4.5,0.125,0.25,5
2013-12-25,NaN,,10,1,0.125,NaN,6,3.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,,,3.25,3.5,NaN,NaN,2.5,4,NaN,NaN,NaN,9.5,5.5,2,NaN,2.25,4.5,0.125,0.25,NaN
2013-12-26,9.5,,10,1,0.125,4.5,6,3.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,7.75,NaN,,2.5,3.25,3.5,3,NaN,2.5,4,3.5,NaN,NaN,9.5,5.5,2,NaN,2.25,4.5,0.125,0.25,NaN
2013-12-27,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.4317,NaN,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,5.5,,0.75,2.25,4.5,0.125,0.25,5
2013-12-28,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2013-12-29,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2013-12-30,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.34,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,NaN,2.5,4,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2013-12-31,NaN,2.5,10,1,0.125,NaN,6,3.25,0.05,NaN,0.5,0.5,0.3083,3,,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,NaN,2.5,4,9.5,5.5,2,NaN,2.25,4.5,0.125,0.25,5
2014-01-01,NaN,,10,1,0.125,NaN,6,3.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,4,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-01-02,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,NaN,9.5,NaN,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-03,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,NaN,,0.75,2.25,4.5,0.125,0.25,5
2014-01-04,NaN,,10,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2014-01-05,NaN,,10,NaN,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-01-06,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3,7.5,1,7.75,5.375,,2.5,NaN,3.5,3,1.5,2.5,4,3.5,NaN,4,9.5,NaN,2,NaN,2.25,4.5,0.125,0.25,5
2014-01-07,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5667,3,7.5,1,7.75,5.375,,2.5,NaN,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,NaN,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-08,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.4143,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,4,9.5,NaN,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-09,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-10,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,,0.75,2.25,4.5,0.125,0.25,5
2014-01-11,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2014-01-12,NaN,,10,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-01-13,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-14,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,NaN,1,NaN,5.375,,2.5,3.25,3.5,NaN,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-15,9.5,2.5,10,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-16,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-17,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.3333,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,NaN,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,,0.75,2.25,4.5,0.125,0.25,5
2014-01-18,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2014-01-19,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-01-20,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-21,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,3,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-22,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-23,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-24,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,,0.75,2.25,4.5,0.125,0.25,5
2014-01-25,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,7.75,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5
2014-01-26,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-01-27,9.5,,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,7.75,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-28,9.5,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,4.5,0.125,0.25,5
2014-01-29,25.5201,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5
2014-01-30,25.5201,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,8,5.375,,,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-01-31,25.5201,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,NaN,NaN,2.85,NaN,1,8,5.375,,,3.25,3.5,NaN,1.5,2.5,4,NaN,2.5,3.75,9.5,5.5,,0.75,2.25,10,0.125,0.25,5.5
2014-02-01,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,8,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5.5
2014-02-02,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-02-03,25.5201,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,NaN,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,NaN,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-04,25.5201,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.5,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.75,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-05,28.5198,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.7,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-06,28.5198,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.7,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-07,28.5198,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.377,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,,0.75,2.25,10,0.125,0.25,5.5
2014-02-08,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,8,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5.5
2014-02-09,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-02-10,28.5198,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-11,28.5198,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-12,28.7098,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-13,28.7098,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-14,28.7098,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,,0.75,2.25,10,0.125,0.25,5.5
2014-02-15,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,8,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5.5
2014-02-16,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,NaN,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,2,NaN,2.25,NaN,0.125,0.25,NaN
2014-02-17,28.7098,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,0.35,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-18,28.7098,2.5,10.5,1,0.125,4.5,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.85,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-19,28.7098,2.5,10.5,1,0.125,4.25,6,3.25,0.05,-0.1,0.5,0.5,NaN,2.7,7.5,1,NaN,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-20,28.7098,2.5,10.5,1,0.125,4.25,6,3.25,0.05,-0.1,0.5,0.5,0.75,2.7,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,2,0.75,2.25,10,0.125,0.25,5.5
2014-02-21,28.7098,2.5,10.5,1,0.125,4.25,6,3.25,0.05,-0.1,0.5,0.5,0.8,2.7,7.5,1,8,5.375,,2.5,3.25,3.5,3,1.5,2.5,4,3.5,2.5,3.5,9.5,5.5,,0.75,2.25,10,0.125,0.25,5.5
2014-02-22,NaN,,10.5,,,NaN,6,3.25,,,,NaN,NaN,NaN,NaN,1,8,NaN,,,NaN,3.5,NaN,NaN,2.5,,NaN,NaN,NaN,9.5,NaN,,NaN,2.25,NaN,0.125,0.25,5.5
